County Name,State,Metro Code,OMB County Status,Total Population (civilian non-institutionalized),Total Population (Margin of Error),Disability Population (civilian non-institutionalized),Disability Population (Margin of Error),Percent with a Disability,Gender- Male Disability Rate- Percentage of males reporting a disability,Gender- Female Disability Rate- Percentage of females reporting a disability,Vision- Percentage of individuals reporting a vision difficulty,Hearing- Percentage of individuals reporting a hearing disability,Cognitive- Percentage of individuals reporting a cognitive disability,Mobility- Percentage of individuals reporting a mobility disability,Self Care- Percentage of individuals reporting a self care disability,Independent Living- Percent of individuals reporting a independent living disability,Disability Employment Rate- Percentage of individuals with a reported disability employed in the labor force,Disability Unemployment Rates- Percentage of individuals with a reported disability unemployed in the labor force,Out of the Labor Force Disability Rate- Percentage of individuals with a reported disability not in the labor force,Veteran Disability Rate- Percentage of veterans reporting a disability,Disability Poverty Rate- Percentage of individuals reporting a disability in poverty
Atlantic,New Jersey,1,Metropolitan,272459,346,35047,1266,12.9,12.7,13,2.2,3.3,5,7.9,2.9,6.3,36.8,10.9,52.3,28.6,19.8
Bergen,New Jersey,1,Metropolitan,920477,433,76409,1640,8.3,7.9,8.7,1.3,2.3,3,4.6,2.1,4.4,38.5,7.5,54,26.6,12.6
Burlington,New Jersey,1,Metropolitan,436086,712,47864,1303,11,10.5,11.4,1.7,3,4.3,6.1,2.3,5.4,38.9,7.7,53.4,22.8,12
Camden,New Jersey,1,Metropolitan,506316,489,67549,1860,13.3,12.3,14.3,2.6,3.1,5.7,7.4,3.1,6.8,32.8,7.5,59.7,27.5,21.1
Cape May,New Jersey,1,Metropolitan,93627,379,13559,715,14.5,14.7,14.3,2.5,4.1,5.4,8.4,3.5,7.2,34.5,7.3,58.2,26,16.9
Cumberland,New Jersey,1,Metropolitan,145461,881,22072,1125,15.2,14.3,16,3.1,3.6,6.3,8.9,3.8,8.4,32,6.2,61.8,30.2,26.6
Essex,New Jersey,1,Metropolitan,780124,762,97111,2165,12.4,11.4,13.4,4.2,2.2,4.2,6.9,2.6,5.5,39.2,10.4,50.4,29.1,26.3
Gloucester,New Jersey,1,Metropolitan,288920,235,35884,1039,12.4,12.1,12.7,2.2,3.2,5,7.2,2.5,6.3,38.2,7,54.8,27.4,13.8
Hudson,New Jersey,1,Metropolitan,659054,366,62051,1546,9.4,8.4,10.4,2,1.8,3.5,6,2.3,4.6,35.2,9.2,55.6,19.8,27.2
Hunterdon,New Jersey,1,Metropolitan,122298,660,10400,578,8.5,8.9,8.1,1.2,3,3.4,3.4,1.3,3.8,49.5,8.5,42.1,25.7,10.3
Mercer,New Jersey,1,Metropolitan,363188,906,36848,1337,10.1,9.8,10.5,1.7,2.4,4.2,5.6,2,4.8,37.1,8.5,54.4,25.2,18.9
Middlesex,New Jersey,1,Metropolitan,820703,696,71843,1720,8.8,8.1,9.4,1.3,2.3,3.3,5.1,2.1,4.5,36.7,6.2,57.1,26.9,12.7
Monmouth,New Jersey,1,Metropolitan,624974,415,60922,1499,9.7,9.3,10.2,1.6,2.7,3.6,5.3,2,4.7,37.4,8.1,54.5,25.4,13.7
Morris,New Jersey,1,Metropolitan,494204,532,38290,1145,7.7,7.2,8.3,1.2,2.4,2.7,4.1,1.8,3.9,43,6.3,50.8,24.6,9.5
Ocean,New Jersey,1,Metropolitan,578118,524,76121,1762,13.2,13.1,13.2,2.1,4,4.5,8,2.7,6.1,35.7,6.9,57.3,31,12.1
Passaic,New Jersey,1,Metropolitan,503836,503,44963,1392,8.9,8.1,9.7,1.8,2.1,3.3,5.6,2.3,4.9,33,8,59,27.2,20.9
Salem,New Jersey,1,Metropolitan,63928,284,9766,562,15.3,14.8,15.8,3.1,4.4,5.6,8.7,2.8,6.2,33,7,60,26.5,18.9
Somerset,New Jersey,1,Metropolitan,327821,415,25709,1022,7.8,7.2,8.4,1,2.2,2.9,4.4,1.9,4.2,43.2,8.2,48.6,25.7,10.6
Sussex,New Jersey,1,Metropolitan,144580,297,14153,659,9.8,9.7,9.8,1.2,2.8,3.6,5.4,2.2,4.4,36.3,5.9,57.8,25.7,10.1
Union,New Jersey,1,Metropolitan,544225,472,50029,1525,9.2,8.6,9.8,1.7,2.3,3.6,5.1,2.3,4.8,37.6,7.7,54.7,26.2,15.2
Warren,New Jersey,1,Metropolitan,106205,199,11898,652,11.2,10.7,11.7,1.7,3.1,4.3,6.3,2.2,5.4,37.3,9.2,53.5,25.1,13
Bernalillo,New Mexico,1,Metropolitan,666484,1089,86822,2289,13,13.1,12.9,2.6,3.9,5.7,7.4,3.1,6.5,32.8,7.6,59.6,27.9,25
Catron,New Mexico,3,Non core,3574,8,1006,166,28.1,23.4,33.5,13.5,15.9,9.1,14.4,7.5,10.5,23,0,77,38,16
Chaves,New Mexico,2,Micropolitan,64821,156,10872,651,16.8,16.7,16.9,3.7,5.4,7.2,8.8,2.8,7.6,36.3,6,57.7,33.6,26.7
Cibola,New Mexico,2,Micropolitan,25636,270,5607,415,21.9,22.8,20.9,6.5,7.8,9.5,13.3,4.6,10.3,29.2,8.4,62.4,48.8,25.8
Colfax,New Mexico,3,Non core,12541,127,2674,296,21.3,24.8,18,4.4,7.4,9.6,12.1,3.6,9.6,27.3,1.2,71.5,38.9,26.9
Curry,New Mexico,2,Micropolitan,47988,338,7617,701,15.9,14,17.8,3.5,4.7,6.6,10.2,4,8.8,39.5,4.1,56.4,23.7,25.9
De Baca,New Mexico,3,Non core,1995,101,415,114,20.8,20.6,20.9,2.4,6.1,8.1,16,7.1,13.5,34.6,1.3,64.1,59.1,23.4
Dona Ana,New Mexico,1,Metropolitan,210603,388,23317,1257,11.1,11.4,10.8,2.2,3.2,4.3,7,2.4,5.8,31.4,7.8,60.7,25,26.4
Eddy,New Mexico,2,Micropolitan,55089,143,7881,706,14.3,14.3,14.3,2.9,4.5,4.1,9.5,3.1,5.9,41.4,2.6,56,31.6,17.1
Grant,New Mexico,2,Micropolitan,28738,126,6300,586,21.9,23.4,20.5,4.8,7.5,9.1,12.5,3.4,8.8,29.1,5.5,65.4,39.7,22
Guadalupe,New Mexico,3,Non core,3922,181,885,197,22.6,28.8,16,3.6,5.5,8.9,12.5,2.8,8.8,20.4,0,79.6,45.7,17.4
Harding,New Mexico,3,Non core,564,100,124,36,22,25.4,18.3,6.4,8.3,3.6,16.4,8.5,7.3,20,1.8,78.2,40.5,27.4
Hidalgo,New Mexico,3,Non core,4523,39,790,113,17.5,24.1,11,4.4,7.3,5.3,9.8,3.3,8.8,20.7,11.5,67.9,35.3,16.6
Lea,New Mexico,2,Micropolitan,66553,252,7662,540,11.5,11.1,11.9,2.6,3.6,3.4,7.1,2.2,5.2,35.1,4,60.9,25.7,20.4
Lincoln,New Mexico,2,Micropolitan,19790,73,3560,386,18,19.8,16.2,4.9,6.8,5.1,10.3,3.3,7.7,44.6,2.2,53.2,34.4,17.8
Los Alamos,New Mexico,2,Micropolitan,17827,78,1978,267,11.1,10.5,11.8,2,4.3,4.2,4.3,1.3,3.6,44.9,1,54.1,19.9,5.3
Luna,New Mexico,2,Micropolitan,24422,119,4689,412,19.2,20,18.5,4.5,6.4,5.7,11,3.4,9.1,30.8,6.2,63,28.6,27.5
McKinley,New Mexico,2,Micropolitan,73637,62,10971,619,14.9,15,14.8,4.8,5.7,6.2,8.5,2.8,7.8,24,7,69,32.7,43.9
Mora,New Mexico,3,Non core,4660,7,1246,285,26.7,31.6,22.3,9,14.5,16.7,16.9,6.6,18.3,25.5,0.6,73.9,33.2,36.9
Otero,New Mexico,2,Micropolitan,60517,449,10641,695,17.6,18.4,16.8,4.6,6.2,6.7,10.7,4.8,8.2,27.5,7.7,64.8,31.8,27
Quay,New Mexico,3,Non core,8663,38,2252,262,26,26.7,25.3,4.2,10.1,9.7,17.6,6.4,15.4,21.3,0,78.7,40.2,16.9
Rio Arriba,New Mexico,2,Micropolitan,39683,83,6879,509,17.3,18.3,16.4,5.6,4.5,7.2,11.7,4.2,8.5,23.4,7.5,69.1,37,26.2
Roosevelt,New Mexico,2,Micropolitan,19424,123,3264,322,16.8,17.2,16.5,3.5,4.9,7.7,9.4,2.6,7.6,34.5,2.8,62.7,30.8,29.4
Sandoval,New Mexico,1,Metropolitan,135852,216,16955,895,12.5,13,12,2.2,4,4.7,7,2.9,6.3,33.6,5.3,61.1,26.4,15
San Juan,New Mexico,1,Metropolitan,123783,283,16864,893,13.6,14.1,13.2,2.7,5.1,5.6,7.7,2.9,6,34.5,6.8,58.8,32.4,24.9
San Miguel,New Mexico,2,Micropolitan,28105,108,7565,681,26.9,28.3,25.6,5.7,10.4,13.4,14.5,6,12,31.4,2.5,66,45.8,32.6
Santa Fe,New Mexico,1,Metropolitan,145285,413,18882,779,13,12.8,13.2,3,4.9,4.8,6.9,2.5,5.4,41.4,5.5,53.1,26.4,19.2
Sierra,New Mexico,3,Non core,11374,103,2966,360,26.1,29,23.1,5.3,12.2,10.2,16.9,5.9,12.5,23.7,1.7,74.6,45.2,24.7
Socorro,New Mexico,3,Non core,17392,64,5026,533,28.9,29,28.8,15.2,16.2,19.5,20.1,15.5,22.8,26.5,2,71.4,48.2,25.1
Taos,New Mexico,2,Micropolitan,32739,45,6424,520,19.6,19.3,19.9,4.6,7.7,8.9,10.7,4.5,8.9,38.9,8.2,52.9,25.5,27.9
Torrance,New Mexico,1,Metropolitan,15096,164,2541,328,16.8,16.5,17.2,2.7,3.8,8.3,10,3.8,6.8,23.5,2.9,73.6,22.6,36.7
Union,New Mexico,3,Non core,3722,135,610,92,16.4,19.3,13.6,3.7,7.7,5.5,9.1,2.1,6.1,48.1,2.5,49.4,33.2,14.1
Valencia,New Mexico,1,Metropolitan,74700,225,14107,978,18.9,20,17.8,4.1,6.6,8.5,10.9,4,9,26.7,8.2,65.1,35.9,27.7
Albany,New York,1,Metropolitan,303811,442,34159,1223,11.2,10.5,11.9,1.5,2.9,4.7,5.9,2.1,5.1,38.1,5.9,56.1,26.2,20.2
Allegany,New York,3,Non core,47597,120,7257,332,15.2,15.6,14.9,2.1,4.7,5.5,8.2,2.8,6,34.2,6.3,59.5,33.1,22
Bronx,New York,1,Metropolitan,1406091,780,190871,3290,13.6,12.4,14.6,3,2.7,6.2,8.6,3.2,6.6,24.5,8.4,67,28.9,41.1
Broome,New York,1,Metropolitan,195125,309,28132,934,14.4,14,14.9,2.2,3.7,6,7.5,2.7,6.1,31,6,62.9,27.2,24.5
Cattaraugus,New York,2,Micropolitan,78228,216,11803,555,15.1,16,14.2,2.2,4.5,6.2,8.5,3.2,6.9,27.6,6.2,66.2,28.9,25.9
Cayuga,New York,2,Micropolitan,75997,305,10532,577,13.9,14.4,13.3,2.1,4.4,4.9,7.2,2.8,5.9,35,4.5,60.5,24,18.7
Chautauqua,New York,2,Micropolitan,130012,303,19771,674,15.2,15.8,14.6,2.3,4.3,5.9,8.3,2.9,6.2,30.3,8.3,61.5,27.2,28
Chemung,New York,1,Metropolitan,83978,980,11374,583,13.5,13.6,13.5,2.1,3.7,5.4,7,2.3,5.3,31.9,3.6,64.4,27.8,24.4
Chenango,New York,3,Non core,48980,134,8673,482,17.7,19.1,16.3,2.5,4.9,6.9,9.8,4.4,7.8,26.8,5.5,67.7,32.4,24.1
Clinton,New York,2,Micropolitan,77192,324,11570,684,15,14.2,15.8,2.5,4.3,6.2,8.1,2.8,6.8,24.3,4.5,71.3,26.8,26.4
Columbia,New York,2,Micropolitan,60471,267,9470,528,15.7,16.7,14.7,2.1,5.2,6.5,7.3,2.7,6.1,37.2,5.7,57.1,27.7,20
Cortland,New York,2,Micropolitan,48573,127,6288,404,12.9,13.9,12,1.9,3.5,4.7,7.8,3.9,6.3,32.8,4,63.2,26.7,19.8
Delaware,New York,3,Non core,46366,111,7708,429,16.6,17.4,15.9,2.2,4.5,6,8.6,3,7.1,32.2,4.1,63.7,27.3,21
Dutchess,New York,1,Metropolitan,289320,516,37945,1415,13.1,12.6,13.6,2.1,4,5.3,7.2,2.8,6,36.3,8.3,55.3,29.1,15.9
Erie,New York,1,Metropolitan,909999,677,119315,1917,13.1,12.5,13.6,2,3.3,5,7.5,2.6,6.1,31.9,6.2,61.9,28.1,23.8
Essex,New York,3,Non core,36689,611,5891,418,16.1,17.8,14.3,2.7,5.8,5.5,8.3,2.6,5.7,38.2,5.5,56.3,32.6,14.8
Franklin,New York,2,Micropolitan,46449,342,6772,415,14.6,14.5,14.7,2.2,3.8,5.9,7.6,1.9,5.3,25.4,5.5,69.1,25.7,34.2
Fulton,New York,2,Micropolitan,53767,179,8667,480,16.1,16.7,15.5,2.5,5.1,5.6,8.1,2.8,7.2,27.7,4.9,67.4,26.7,26.1
Genesee,New York,2,Micropolitan,58923,145,7919,593,13.4,13.7,13.1,1.7,3.8,5.6,7.2,2.9,5.4,31.7,6.7,61.6,28.9,19.2
Greene,New York,3,Non core,45396,271,7144,544,15.7,16.8,14.7,2.4,3.9,5.3,9.3,2.5,6.6,27,5.3,67.7,27.8,19.7
Hamilton,New York,3,Non core,4736,27,809,128,17.1,16.8,17.4,2.8,5.7,6.5,8.5,3.2,8.2,21.4,8,70.6,15,19.5
Herkimer,New York,1,Metropolitan,63372,196,8782,487,13.9,14,13.7,2.1,3.9,4.9,7.8,2.6,6.3,30.7,6.7,62.6,28.2,22.6
Jefferson,New York,1,Metropolitan,106421,633,14244,734,13.4,15,11.9,2.1,4.2,5.3,6.7,2,5.5,32.9,7.8,59.3,25.2,24.2
Kings,New York,1,Metropolitan,2585048,876,256027,3825,9.9,8.5,11.1,2.2,2,3.9,6.9,2.9,5.7,28.7,7.3,64,26.7,33.8
Lewis,New York,3,Non core,26772,124,3757,262,14,14.2,13.8,1.8,4.2,5.1,7,2.4,5.7,34.4,8.3,57.3,28.7,18.5
Livingston,New York,1,Metropolitan,62337,204,7932,567,12.7,12.5,12.9,1.9,4.1,5,5.9,2.2,5.3,35,5,60,22.3,23.9
Madison,New York,1,Metropolitan,71788,157,8161,471,11.4,11.8,10.9,1.5,3.2,4.7,6,2.6,5.9,29.5,5.5,65,23,20.2
Monroe,New York,1,Metropolitan,742169,582,93814,1859,12.6,11.9,13.3,1.8,3.2,5.4,6.8,2.3,5.8,33.1,7.1,59.8,25.4,25.4
Montgomery,New York,2,Micropolitan,49025,190,7603,453,15.5,14.9,16.1,2.9,4.1,6.3,8.2,2.9,7.1,30.8,7.2,62,26.8,30.9
Nassau,New York,1,Metropolitan,1344466,1380,113159,2203,8.4,7.8,9,1.3,2.3,2.8,4.9,2.2,4.5,36.5,6.1,57.4,26.7,9.9
New York,New York,1,Metropolitan,1618623,833,159003,3773,9.8,8.7,10.8,1.9,2.2,3.6,6.4,2.5,4.3,31.6,6.6,61.8,26.4,33.2
Niagara,New York,1,Metropolitan,212045,250,28458,1072,13.4,13.1,13.7,1.8,3.5,5,7.6,2.7,6.1,31.7,5.7,62.6,26.5,22.5
Oneida,New York,1,Metropolitan,225782,715,35211,1010,15.6,15.4,15.8,2.7,4.3,6.5,8.6,3.2,7.4,30,6.3,63.7,27.3,26.9
Onondaga,New York,1,Metropolitan,463030,399,55925,1318,12.1,11.8,12.3,2,3.3,5,6.4,2.3,5.4,33,6,61,25.8,24.7
Ontario,New York,1,Metropolitan,108183,168,12895,598,11.9,11.6,12.2,1.7,3.7,4.6,6.1,2.4,5.4,35.1,7.7,57.2,23,19.1
Orange,New York,1,Metropolitan,365674,879,43513,1482,11.9,11.4,12.4,2.6,3.5,4.6,6.5,2.8,5.8,39.7,7.5,52.7,28.4,17.1
Orleans,New York,1,Metropolitan,39378,334,6734,493,17.1,16.9,17.3,2.5,4.7,6.7,9.6,3.8,7.6,23.5,4.5,72,27.8,26.5
Oswego,New York,1,Metropolitan,120399,207,17448,814,14.5,14.7,14.3,2.2,4.1,5.9,7.8,3.1,6.3,23.3,5.9,70.8,25.9,25.3
Otsego,New York,2,Micropolitan,60741,160,7739,450,12.7,13,12.4,1.9,3.6,4.9,6.3,2.3,5.2,35.6,4.1,60.3,22.7,22.8
Putnam,New York,1,Metropolitan,98830,223,10131,651,10.3,10.6,9.9,1.4,2.9,3.7,5.4,2.2,5,40.8,6.6,52.6,25.8,8.3
Queens,New York,1,Metropolitan,2286325,815,216809,3211,9.5,8.4,10.5,2,2.1,3.4,5.9,2.5,4.8,35.6,6.8,57.6,26.1,21.2
Rensselaer,New York,1,Metropolitan,158130,241,19778,908,12.5,12.4,12.6,1.2,3,5.5,6.8,2.2,5.2,36.5,6.6,56.9,25.8,19.8
Richmond,New York,1,Metropolitan,468626,381,46358,1487,9.9,9,10.7,1.4,2.1,3.4,6.2,2.3,5.1,27.8,4.4,67.9,24.1,19.9
Rockland,New York,1,Metropolitan,318078,334,28633,1096,9,8.6,9.4,1.4,2.4,3.5,5.1,2.6,5.2,39.8,5.2,55,27,15.8
St. Lawrence,New York,2,Micropolitan,108388,362,16814,699,15.5,15.6,15.4,2.7,4.9,5.8,8.7,3,6.2,31,6.8,62.2,32.3,23.7
Saratoga,New York,1,Metropolitan,220444,404,24560,1014,11.1,11.3,11,1.9,3.8,4.1,5.7,2.1,4.9,42.1,5.9,52,21.7,15.4
Schenectady,New York,1,Metropolitan,153072,290,19997,918,13.1,12.8,13.3,2.2,3.1,5.8,6.9,2.7,6.6,33.8,6.7,59.5,27,20.3
Schoharie,New York,1,Metropolitan,31801,47,5021,362,15.8,16.3,15.3,2.5,4.9,6.3,7.8,2.6,6,31.7,6.9,61.5,28.8,17.6
Schuyler,New York,3,Non core,18089,71,2691,249,14.9,15.9,13.9,1.7,4.4,5,8,3,5.9,32.1,4.1,63.8,29.5,19.7
Seneca,New York,2,Micropolitan,32465,316,5139,418,15.8,15.8,15.9,1.7,4.8,5.9,9.2,2.9,6.1,37.5,4.3,58.2,30.2,19.6
Steuben,New York,2,Micropolitan,97509,274,15320,638,15.7,16.7,14.7,2.4,4.3,6.6,8.7,2.9,6.4,29.1,6.2,64.7,29.3,25.4
Suffolk,New York,1,Metropolitan,1486195,1005,138837,2309,9.3,9.2,9.5,1.4,2.5,3.2,5.3,2.1,4.5,36.9,5.2,57.9,24.4,12.6
Sullivan,New York,3,Non core,74047,252,11507,736,15.5,15.6,15.5,2.5,4.1,6.1,9.5,3.6,7.3,24.8,6.6,68.7,27.3,29.3
Tioga,New York,1,Metropolitan,49835,111,6658,550,13.4,13.8,12.9,1.6,3.8,5.5,8,2.7,5.7,36.5,5.8,57.7,24.5,20.3
Tompkins,New York,1,Metropolitan,102995,325,9832,587,9.5,8.7,10.3,1.3,2.7,4.4,4.8,2.1,4.1,35,6.4,58.6,22.3,20.1
Ulster,New York,1,Metropolitan,176979,344,24501,983,13.8,14,13.7,2.1,3.7,5.2,7.5,3,6.6,32.9,6.5,60.6,30.9,20.2
Warren,New York,1,Metropolitan,64588,152,9104,565,14.1,13.6,14.6,1.8,3.8,5.7,8,2.7,6.7,31.5,5.3,63.2,25.8,21
Washington,New York,1,Metropolitan,59719,289,8561,488,14.3,15.1,13.6,1.8,4.1,5.3,8.1,2.9,6.2,27.9,10.1,62,26,16.6
Wayne,New York,1,Metropolitan,91351,167,12825,611,14,14.2,13.9,2.1,4,5.7,7.6,2.5,6.2,32.2,6.6,61.2,25.7,21.1
Westchester,New York,1,Metropolitan,954315,1662,85667,1891,9,8.3,9.6,1.6,2.4,3.1,5.2,2.2,4.6,39.7,6.3,54,27.9,17.6
Wyoming,New York,3,Non core,37747,208,4944,310,13.1,13,13.2,1.8,4,4.9,6.6,2.6,5.6,35.3,6.1,58.5,22.2,22.4
Yates,New York,1,Metropolitan,24829,102,3277,335,13.2,14.2,12.2,1.4,4.1,5.3,7.7,2.3,5.8,34.1,5.5,60.3,28.3,27.6
Alamance,North Carolina,1,Metropolitan,154193,213,22666,1027,14.7,13.8,15.5,3.2,4.3,5.9,8.4,2.8,6.4,31.8,7.4,60.8,27.6,24.9
Alexander,North Carolina,1,Metropolitan,36026,201,6101,475,16.9,17.4,16.5,3.4,4.6,6.3,11.2,4.2,8.3,24.7,3.7,71.6,27.5,22.5
Alleghany,North Carolina,3,Non core,10783,119,2125,220,19.7,20,19.4,2.6,6.7,6.3,12.2,4.9,8.9,20.3,4.9,74.8,44.5,24.1
Anson,North Carolina,3,Non core,24351,178,4826,326,19.8,18.2,21.4,4.4,5,8.6,12.9,5,10.2,25.7,7.3,67,30.3,28
Ashe,North Carolina,3,Non core,26853,90,4313,430,16.1,16.3,15.9,3,5.3,5.8,9.4,4.1,8.2,32.8,5.5,61.7,32.8,27.1
Avery,North Carolina,3,Non core,15738,600,3206,329,20.4,19.8,20.9,5.2,6.8,6.6,13.1,4.7,7.5,33.5,4.6,61.9,43.5,20.4
Beaufort,North Carolina,2,Micropolitan,47198,159,8870,631,18.8,19.3,18.4,3.8,5,6.8,11.2,4.8,10.2,19.2,8.3,72.5,29.6,24.1
Bertie,North Carolina,3,Non core,19281,183,4062,330,21.1,20.3,21.8,3.7,5,6.1,15.2,5.7,10.9,24.4,3.5,72.1,30.3,25.5
Bladen,North Carolina,3,Non core,34298,152,7235,561,21.1,20.9,21.3,6,6.4,9.2,13.6,6.4,10.2,15.9,9.2,74.9,35.8,38.9
Brunswick,North Carolina,1,Metropolitan,114974,168,19140,980,16.6,17.2,16.2,2.9,5.8,5.9,9.1,3.3,6.7,27.7,5.3,67.1,30.6,20.8
Buncombe,North Carolina,1,Metropolitan,243514,719,33740,1377,13.9,13.9,13.8,2.4,4,6,8,3.7,7.2,27.7,6.9,65.4,28,22.2
Burke,North Carolina,1,Metropolitan,87122,417,17489,1063,20.1,21,19.2,3.4,6.3,8.9,11.8,4.4,8.8,23.8,7.6,68.6,35.1,28.9
Cabarrus,North Carolina,1,Metropolitan,187015,255,19674,951,10.5,10.1,11,1.8,3.1,3.7,6.2,2.3,5.2,33.8,8.6,57.5,26,18.8
Caldwell,North Carolina,1,Metropolitan,80896,171,15265,697,18.9,19.4,18.4,3.8,5.4,7.3,11.8,3.8,8.5,21.9,4.7,73.4,36.1,31
Camden,North Carolina,2,Micropolitan,9987,75,1228,219,12.3,12.5,12.1,2.8,3.5,3.3,6.8,3.4,6.9,41.1,5.4,53.5,18,9.2
Carteret,North Carolina,2,Micropolitan,66448,233,12786,669,19.2,20.1,18.4,3.8,6.2,6.9,10.2,3.7,7.2,36,8.2,55.8,32.3,22.2
Caswell,North Carolina,3,Non core,22247,277,4689,409,21.1,22,20.2,3.5,4.5,8.5,13.2,5.5,11.7,28.7,3.7,67.7,33.4,27
Catawba,North Carolina,1,Metropolitan,153148,273,21449,905,14,14,14,2.3,4,5.1,8.2,3,6.5,29.3,5.1,65.6,28.9,21.7
Chatham,North Carolina,1,Metropolitan,66686,191,9064,738,13.6,13.7,13.4,2.6,4.5,4.3,7.3,2.8,5.8,37.8,6,56.2,25.9,18.6
Cherokee,North Carolina,3,Non core,26810,103,5366,461,20,22,18.1,3.3,6.9,9.2,11.4,3.9,10,26.2,4.2,69.6,32.5,22.2
Chowan,North Carolina,3,Non core,14388,117,2080,327,14.5,13.9,15,2.4,3.2,4.9,9.1,2.7,8.2,18.4,16.9,64.7,28.2,31.4
Clay,North Carolina,3,Non core,10595,30,1742,300,16.4,17.7,15.3,3.6,6.8,6.2,10.4,2.9,6.9,20.8,5.8,73.4,21,34.6
Cleveland,North Carolina,2,Micropolitan,96865,148,16229,769,16.8,16.4,17.1,3.9,5,5.9,10.2,4,8.2,30.3,7.8,61.9,32.5,23.8
Columbus,North Carolina,3,Non core,54532,257,10707,752,19.6,19.8,19.5,4.5,4.7,8.3,13.4,6.4,11.7,18.7,5.2,76.1,35.9,30.7
Craven,North Carolina,1,Metropolitan,96957,696,16697,876,17.2,17.5,17,3,5.2,7.2,9.5,3.6,7.5,40.7,8.5,50.8,28.5,18.8
Cumberland,North Carolina,1,Metropolitan,296804,1108,44803,1295,15.1,16.1,14.3,3,3.6,6.8,9.2,3.5,7.1,32.4,7.4,60.2,24.1,23.4
Currituck,North Carolina,1,Metropolitan,24191,122,3069,363,12.7,12.5,12.8,2.6,3.5,5,7.4,2.4,5.1,31.5,8.6,60,21.5,14.6
Dare,North Carolina,2,Micropolitan,34706,53,5064,529,14.6,15.4,13.8,2.9,5.4,4.6,7.6,2.4,5,47.3,13.2,39.5,33.2,18.2
Davidson,North Carolina,1,Metropolitan,162109,391,26758,1184,16.5,16.3,16.7,3.2,4.5,6.7,9.4,3.2,7.7,27.9,9.1,63,29.1,24.8
Davie,North Carolina,1,Metropolitan,41057,121,5537,532,13.5,12.4,14.5,2,3.8,5.6,7.5,3.1,6.4,40.2,4,55.9,25,18
Duplin,North Carolina,3,Non core,58825,130,10096,710,17.2,16.2,18.1,3,4.7,6.3,11.3,3.7,8,27.1,7,65.8,36.3,26.5
Durham,North Carolina,1,Metropolitan,283358,420,28063,1004,9.9,9.5,10.3,2,2.6,4,5.7,2.2,4.3,36.9,7.1,56,26.7,22.7
Edgecombe,North Carolina,1,Metropolitan,54230,174,9708,696,17.9,17.9,17.9,3.3,3.3,8,11,3.7,9,25.6,4.1,70.3,27.2,30.1
Forsyth,North Carolina,1,Metropolitan,358604,346,38848,1279,10.8,10.7,11,1.7,2.4,4.5,6.2,2.4,5.4,27.2,9.1,63.7,22.8,24.7
Franklin,North Carolina,1,Metropolitan,61238,180,9050,733,14.8,15.4,14.2,2.9,4,5.7,7.6,2.9,7.3,32.9,4.7,62.3,28.1,24.2
Gaston,North Carolina,1,Metropolitan,207685,305,33465,1187,16.1,15.9,16.3,3.1,4,7.1,10,3.4,7.5,27.4,6.9,65.7,29.7,24.6
Gates,North Carolina,1,Metropolitan,11626,83,2089,280,18,18.8,17.2,3.1,5.1,6.6,10.8,4.7,8.9,33.7,8.7,57.6,29.6,19.5
Graham,North Carolina,3,Non core,8586,105,1453,200,16.9,15.2,18.6,4.3,6,5.8,7.9,3.3,8.4,11.8,9.5,78.6,35.9,26.8
Granville,North Carolina,2,Micropolitan,55041,377,9939,646,18.1,16.3,19.8,5.6,3.6,7.7,8.8,3.8,8.3,34.3,6.2,59.5,28.8,24.8
Greene,North Carolina,3,Non core,19281,220,4145,373,21.5,22.2,20.8,6.2,5.4,8.1,13.5,3.9,9.6,30,9.5,60.5,41.6,30.8
Guilford,North Carolina,1,Metropolitan,502863,401,53659,1495,10.7,10,11.3,1.8,2.6,4.3,6.1,2.5,5.2,31.3,7.9,60.8,23.8,24.2
Halifax,North Carolina,2,Micropolitan,51993,238,11204,658,21.5,20.1,22.8,4.7,5.3,8.4,14.3,4.8,10.2,20.2,8.3,71.6,42.5,34.4
Harnett,North Carolina,2,Micropolitan,118095,441,15793,712,13.4,13.7,13.1,2.4,3.5,5.6,8.2,3.1,7,27.9,5.7,66.3,23.5,25.5
Haywood,North Carolina,1,Metropolitan,58670,194,9498,635,16.2,15.2,17.1,3.5,5.7,5.2,9.9,3,7.1,28.5,8.5,63,27.6,25.9
Henderson,North Carolina,1,Metropolitan,108640,234,17631,964,16.2,15.9,16.5,3.3,5.7,6.3,8.1,3,7.1,30,4.1,65.9,29.3,22.4
Hertford,North Carolina,3,Non core,22172,550,4657,369,21,19.5,22.2,4.7,5.2,8.3,12.6,5.7,9.7,21.7,7.2,71.1,33.4,30.9
Hoke,North Carolina,1,Metropolitan,46879,551,6853,689,14.6,16.2,13.3,3,3.3,5.9,10.4,4.3,9,23.4,6.7,69.8,24.1,23.7
Hyde,North Carolina,3,Non core,5027,250,834,230,16.6,13.8,19.2,3.5,3.4,5.6,11.5,4.5,9.7,14,22.6,63.4,27.5,16.2
Iredell,North Carolina,1,Metropolitan,163879,242,20748,920,12.7,12.1,13.2,2.7,3.8,5.1,7.2,2.7,5.5,31.7,10.5,57.9,24.1,19.6
